observationId,dancerId,siteNo,hiveNo,sampY,sampM,sampD,sampT,waggleDuration,waggleLength,waggleOrientation,waggleDirection,pollenColor,pollenAbundance
1170,78238,1,8,2019,7,11,12,0.84,,1.790476093,0.215571448,,
782,24343,1,8,2019,4,26,15,1.45,,0.99328211,2.731405497,,
1178,64829,1,8,2019,7,11,12,0.93,,1.588994482,0.43769154,,
944,84631,2,8,2019,5,14,14,1.39,,0.045852753,3.349331856,,
1186,94466,1,8,2019,7,11,12,0.92,,1.561782955,0.414226025,,
1035,25562,1,8,2019,7,10,13,1.69,,-0.003689786,2.931400299,,
1194,58917,1,8,2019,7,11,12,1.56,,2.921486011,-0.928920686,,
952,68871,2,8,2019,5,15,13,1.66,,0.827545005,2.408114672,,
1202,37111,1,8,2019,7,11,12,1.23,,2.569628893,-0.580400765,,
790,67982,1,8,2019,4,26,15,0.81,,0.787752589,2.882635832,,
1210,79549,1,8,2019,7,11,12,1.76,,2.197146089,-0.112775005,,
960,79363,2,8,2019,5,15,13,2.5,,0.025209049,3.309066057,,
1218,13766,1,8,2019,7,11,12,1.6,,2.109980487,-0.00672357,,
1099,82797,1,8,2019,7,11,12,1.06,,2.456018696,-0.333433747,,
1226,13356,1,8,2019,7,11,12,1.3,,1.816219969,0.260716259,,
968,74894,2,8,2019,5,15,13,2.1,,0.276216689,3.099683523,,
1234,66818,1,8,2019,7,11,12,0.29,,-2.376306027,4.424155235,,
